combinationId	fitFun	term	estimate	std.error	statistic	p.value
12-HETE-d8|[M-H]1-|214.148|[M-H]1-|(-)|214.1481|5|0001295	dlnormPar	shift	250	152.7012317718369	1.6371839120037026	0.10213446018759847
12-HETE-d8|[M-H]1-|237.246|[M-H]1-|(-)|237.2462|10|0001295	dlnormPar	meanlog	5.687165573943923	0.38804634575819213	14.655892617238646	1.3251457930492538e-41
12-HETE-d8|[M-H]1-|237.246|[M-H]1-|(-)|237.2462|10|0001295	dlnormPar	sdlog	0.030659533279996112	0.012037617623601622	2.546976838663103	0.011123199966590648
12-HETE-d8|[M-H]1-|237.246|[M-H]1-|(-)|237.2462|10|0001295	dlnormPar	scale	0.010960124142531816	6.937581823090388e-5	157.9819081348083	0
12-HETE-d8|[M-H]1-|237.246|[M-H]1-|(-)|237.2462|10|0001295	dlnormPar	shift	250	114.54116167261307	2.1826214816518252	0.029464041471959378
12-HETE-d8|[M-H]1-|237.246|[M-H]1-|(-)|237.2462|5|0001295	dlnormPar	meanlog	5.687165538752684	0.389504969038688	14.601008949356434	2.6134149219172705e-41
12-HETE-d8|[M-H]1-|237.246|[M-H]1-|(-)|237.2462|5|0001295	dlnormPar	sdlog	0.030659105322201046	0.012082626914161147	2.537453613358515	0.011428763717073744
12-HETE-d8|[M-H]1-|237.246|[M-H]1-|(-)|237.2462|5|0001295	dlnormPar	scale	0.01096004974067591	6.961224671863615e-5	157.44427535825756	0
12-HETE-d8|[M-H]1-|237.246|[M-H]1-|(-)|237.2462|5|0001295	dlnormPar	shift	250	114.97170174005346	2.1744481138953677	0.03007778817273527
12-HETE-d8|[M-H]1-|265.277|[M-H]1-|(-)|265.2774|10|0001295	dlnormPar	meanlog	5.650168373092673	0.17691471838269326	31.93724312338166	4.0829982040948185e-139
12-HETE-d8|[M-H]1-|265.277|[M-H]1-|(-)|265.2774|10|0001295	dlnormPar	sdlog	0.03644714067310245	0.006493075656152404	5.613232095727636	2.8562504472644583e-8
12-HETE-d8|[M-H]1-|265.277|[M-H]1-|(-)|265.2774|10|0001295	dlnormPar	scale	0.06758245943621943	2.452978770074721e-4	275.5117992079515	0
12-HETE-d8|[M-H]1-|265.277|[M-H]1-|(-)|265.2774|10|0001295	dlnormPar	shift	250	50.32684899473834	4.967527373433164	8.517375335303365e-7
12-HETE-d8|[M-H]1-|265.277|[M-H]1-|(-)|265.2774|5|0001295	dlnormPar	meanlog	5.650168373086499	0.1769147181937997	31.937243157446467	4.082996386867991e-139
12-HETE-d8|[M-H]1-|265.277|[M-H]1-|(-)|265.2774|5|0001295	dlnormPar	sdlog	0.03644714067757416	0.006493075631009609	5.613232118152148	2.8562500928242623e-8
12-HETE-d8|[M-H]1-|265.277|[M-H]1-|(-)|265.2774|5|0001295	dlnormPar	scale	0.06758245944181536	2.452972143776686e-4	275.5125434802652	0
12-HETE-d8|[M-H]1-|265.277|[M-H]1-|(-)|265.2774|5|0001295	dlnormPar	shift	250	50.32684894005886	4.967527378830319	8.517375106359812e-7
12-HETE-d8|[M-H]1-|283.288|[M-H]1-|(-)|283.2879|10|0001295	dlnormPar	meanlog	5.6403078470354115	0.4147052319166544	13.60076365800221	6.706358865157091e-37
12-HETE-d8|[M-H]1-|283.288|[M-H]1-|(-)|283.2879|10|0001295	dlnormPar	sdlog	0.028609610472488244	0.011969131050440729	2.390282999820173	0.01714389519174704
12-HETE-d8|[M-H]1-|283.288|[M-H]1-|(-)|283.2879|10|0001295	dlnormPar	scale	0.008723758011379994	5.7328579665531474e-5	152.1711869067133	0
12-HETE-d8|[M-H]1-|283.288|[M-H]1-|(-)|283.2879|10|0001295	dlnormPar	shift	250	116.80195051886466	2.140375215391823	0.03272830941056182
12-HETE-d8|[M-H]1-|283.288|[M-H]1-|(-)|283.2879|5|0001295	dlnormPar	meanlog	5.640306690588215	0.41720376572991213	13.519309157529552	1.5940731705500262e-36
12-HETE-d8|[M-H]1-|283.288|[M-H]1-|(-)|283.2879|5|0001295	dlnormPar	sdlog	0.028607640145868574	0.01204150010983082	2.375753841708889	0.017827786422879962
12-HETE-d8|[M-H]1-|283.288|[M-H]1-|(-)|283.2879|5|0001295	dlnormPar	scale	0.008723429383486267	5.762177351743517e-5	151.3911990377515	0
