origin	scanNumber	polarity	basePeakMz	basePeakIntensity	totalIonCurrent	id	scanDefinition	msLevel	isolationWindowTargetMz[0]	isolationWindowLowerOffset[0]	isolationWindowUpperOffset[0]	precursorActivationType	precursorCollisionEnergy	precursorCollisionEnergyUnit	ionInjectionTime[0]	isolationMzMin[0]	isolationMzMax[0]	precursorCharge[0]	precursorMz[0]	msFunction	retentionTime	spectrumType	rawTic	instrument	group	foundMass	foundMassRange[ppm]	foundMassLowerBound	foundMassUpperBound	foundMassError[ppm]	foundIntensity	scanRelativeIntensity	calculatedMass	species	fragment	adduct
STD_neg_MSMS_2min0018.mzML	4	NEGATIVE	718.540126119949	26383	135290	scanId=2517		2	718.539184570313	0.0	0.0	HCD	11.0	electronvolt		718.039184570313	719.039184570313	1	718.539184570313	null	2.509	CENTROIDED	39115.57	MS:1002791	2min0018	718.5388509089576	5	718.5356366187624	718.5428220110556	-0.5266322783769718	26617.484	0.6804831	718.539229314909	PE 17:0-17:0	precursor	[M-H]1-
STD_neg_MSMS_2min0018.mzML	4	NEGATIVE	718.540126119949	26383	135290	scanId=2517		2	718.539184570313	0.0	0.0	HCD	11.0	electronvolt		718.039184570313	719.039184570313	1	718.539184570313	null	2.509	CENTROIDED	39115.57	MS:1002791	2min0018	718.5388509089576	10	718.5320439226159	718.5464147072021	-0.5266322783769718	26617.484	0.6804831	718.539229314909	PE 17:0-17:0	precursor	[M-H]1-
STD_neg_MSMS_2min0018.mzML	4	NEGATIVE	718.540126119949	26383	135290	scanId=2517		2	718.539184570313	0.0	0.0	HCD	11.0	electronvolt		718.039184570313	719.039184570313	1	718.539184570313	null	2.509	CENTROIDED	39115.57	MS:1002791	2min0018	466.29621726900825	5	466.2915820953412	466.2962450344769	4.940455005344709	237.4694	0.0060709687	466.293913564909	PE 17:0-17:0	-FA 17:0(-H)	[M-H]1-
STD_neg_MSMS_2min0018.mzML	4	NEGATIVE	718.540126119949	26383	135290	scanId=2517		2	718.539184570313	0.0	0.0	HCD	11.0	electronvolt		718.039184570313	719.039184570313	1	718.539184570313	null	2.509	CENTROIDED	39115.57	MS:1002791	2min0018	466.29621726900825	10	466.2892506257734	466.2985765040447	4.940455005344709	237.4694	0.0060709687	466.293913564909	PE 17:0-17:0	-FA 17:0(-H)	[M-H]1-
STD_neg_MSMS_2min0018.mzML	5	NEGATIVE	718.540126119949	26402	133512	scanId=2615		2	718.539184570313	0.0	0.0	HCD	12.0	electronvolt		718.039184570313	719.039184570313	1	718.539184570313	null	2.607	CENTROIDED	40112.79	MS:1002791	2min0018	269.2485197797322	5	269.247257751889	269.249950237929	-0.3127785085932876	4902.0884	0.12220762	269.248603994909	PE 17:0-17:0	FA 17:0(+O)	[M-H]1-
STD_neg_MSMS_2min0018.mzML	5	NEGATIVE	718.540126119949	26402	133512	scanId=2615		2	718.539184570313	0.0	0.0	HCD	12.0	electronvolt		718.039184570313	719.039184570313	1	718.539184570313	null	2.607	CENTROIDED	40112.79	MS:1002791	2min0018	269.2485197797322	10	269.245911508869	269.25129648094895	-0.3127785085932876	4902.0884	0.12220762	269.248603994909	PE 17:0-17:0	FA 17:0(+O)	[M-H]1-
STD_neg_MSMS_2min0018.mzML	5	NEGATIVE	718.540126119949	26402	133512	scanId=2615		2	718.539184570313	0.0	0.0	HCD	12.0	electronvolt		718.039184570313	719.039184570313	1	718.539184570313	null	2.607	CENTROIDED	40112.79	MS:1002791	2min0018	718.5394661219507	5	718.5356366187624	718.5428220110556	0.32956731104801196	26487.416	0.66032344	718.539229314909	PE 17:0-17:0	precursor	[M-H]1-
STD_neg_MSMS_2min0018.mzML	5	NEGATIVE	718.540126119949	26402	133512	scanId=2615		2	718.539184570313	0.0	0.0	HCD	12.0	electronvolt		718.039184570313	719.039184570313	1	718.539184570313	null	2.607	CENTROIDED	40112.79	MS:1002791	2min0018	718.5394661219507	10	718.5320439226159	718.5464147072021	0.32956731104801196	26487.416	0.66032344	718.539229314909	PE 17:0-17:0	precursor	[M-H]1-
STD_neg_MSMS_2min0018.mzML	5	NEGATIVE	718.540126119949	26402	133512	scanId=2615		2	718.539184570313	0.0	0.0	HCD	12.0	electronvolt		718.039184570313	719.039184570313	1	718.539184570313	null	2.607	CENTROIDED	40112.79	MS:1002791	2min0018	448.28663682572227	10	448.2788660314214	448.28783169839863	7.334559315182789	104.833336	0.0026134641	448.28334886491	PE 17:0-17:0	-FA 17:0(+HO)	[M-H]1-
STD_neg_MSMS_2min0018.mzML	5	NEGATIVE	718.540126119949	26402	133512	scanId=2615		2	718.539184570313	0.0	0.0	HCD	12.0	electronvolt		718.039184570313	719.039184570313	1	718.539184570313	null	2.607	CENTROIDED	40112.79	MS:1002791	2min0018	466.29137438145176	10	466.2892506257734	466.2985765040447	-5.445457003387044	403.893	0.0100689335	466.293913564909	PE 17:0-17:0	-FA 17:0(-H)	[M-H]1-
